"V1","V2"
-2,7.68677309462883
-1.8974358974359,7.78412935441873
-1.79487179487179,6.96680107841036
-1.69230769230769,7.87456347799197
-1.58974358974359,6.93398465513845
-1.48717948717949,6.05130426947945
-1.38461538461538,6.3975606800604
-1.28205128205128,6.21531619871845
-1.17948717948718,5.82635221428828
-1.07692307692308,5.07807503719105
-0.974358974358974,5.67896750730235
-0.871794871794872,4.81030623359033
-0.769230769230769,3.99707201742141
-0.666666666666667,2.89265005641125
-0.564102564102564,4.25477315137925
-0.461538461538462,3.36214858010777
-0.358974358974359,3.0688279453736
-0.256410256410256,3.24114887457342
-0.153846153846154,2.87214905908751
-0.0512820512820513,2.45079681445491
0.0512820512820511,8.45422898823672
0.153846153846154,8.34373087225902
0.256410256410256,7.90579005249785
0.358974358974359,6.74759897126621
0.461538461538462,7.88387737098877
0.564102564102564,7.33551222458133
0.666666666666667,7.03321335775845
0.769230769230769,6.08119185538764
0.871794871794872,6.24087237547002
0.974358974358974,6.31021995827211
1.07692307692308,6.35981314854559
1.17948717948718,5.16622612317926
1.28205128205128,4.90652482616101
1.38461538461538,4.13877795308133
1.48717948717949,2.88806456741081
1.58974358974359,2.73793335608849
1.69230769230769,2.07504437225725
1.79487179487179,1.52721378159181
1.8974358974359,1.3494867162352
2,0.381587874228772
